,COUNTRY,MEASURE,LOG_TYPE,ADMIN_LEVEL_NAME,REGION,CATEGORY,DATE_IMPLEMENTED,ENTRY_DATE
24,Australia,domestic travel restrictions,Phase-out measure,WA,Pacific,Movement restrictions,2020-05-18,2020-05-11 00:00:00
25,Australia,economic measures,Introduction / extension of measures,-,Pacific,Governance and socio-economic measures,2020-03-01,2020-03-14 00:00:00
26,Australia,economic measures,Introduction / extension of measures,NSW,Pacific,Governance and socio-economic measures,2020-04-09,2020-04-09 00:00:00
27,Australia,economic measures,Introduction / extension of measures,NT,Pacific,Governance and socio-economic measures,2020-04-08,2020-04-09 00:00:00
28,Australia,economic measures,Introduction / extension of measures,Vic,Pacific,Governance and socio-economic measures,2020-04-26,2020-04-27 00:00:00
29,Australia,emergency administrative structures activated or established,Introduction / extension of measures,-,Pacific,Governance and socio-economic measures,2020-02-17,2020-03-14 00:00:00
30,Australia,emergency administrative structures activated or established,Phase-out measure,-,Pacific,Governance and socio-economic measures,2020-05-05,2020-05-11 00:00:00
31,Australia,general recommendations,Introduction / extension of measures,-,Pacific,Public health measures,2020-03-22,2020-03-22 00:00:00
32,Australia,international flights suspension,Introduction / extension of measures,-,Pacific,Movement restrictions,2020-03-25,2020-03-25 00:00:00
33,Australia,isolation and quarantine policies,Introduction / extension of measures,-,Pacific,Public health measures,2020-03-01,2020-03-14 00:00:00
34,Australia,isolation and quarantine policies,Introduction / extension of measures,King & Flinders Islands,Pacific,Public health measures,2020-03-27,2020-03-27 00:00:00
35,Australia,isolation and quarantine policies,Introduction / extension of measures,NSW,Pacific,Public health measures,2020-04-02,2020-04-09 00:00:00
36,Australia,isolation and quarantine policies,Introduction / extension of measures,Tas,Pacific,Public health measures,2020-04-12,2020-04-14 00:00:00
37,Australia,isolation and quarantine policies,Phase-out measure,Qld,Pacific,Public health measures,2020-04-27,2020-04-27 00:00:00
38,Australia,isolation and quarantine policies,Phase-out measure,Vic,Pacific,Public health measures,2020-05-12,2020-05-11 00:00:00
39,Australia,limit public gatherings,Introduction / extension of measures,-,Pacific,Social distancing,2020-03-13,2020-03-14 00:00:00
40,Australia,limit public gatherings,Introduction / extension of measures,NT,Pacific,Social distancing,2020-05-01,2020-05-05 00:00:00
41,Australia,limit public gatherings,Introduction / extension of measures,Qld,Pacific,Social distancing,2020-05-10,2020-05-11 00:00:00
42,Australia,limit public gatherings,Introduction / extension of measures,Tas,Pacific,Social distancing,2020-03-27,2020-03-27 00:00:00
43,Australia,limit public gatherings,Introduction / extension of measures,Vic,Pacific,Social distancing,2020-04-24,2020-05-05 00:00:00
44,Australia,limit public gatherings,Phase-out measure,-,Pacific,Social distancing,2020-05-30,2020-05-26 00:00:00
45,Australia,limit public gatherings,Phase-out measure,ACT,Pacific,Social distancing,2020-05-01,2020-05-05 00:00:00
46,Australia,limit public gatherings,Phase-out measure,NSW,Pacific,Social distancing,2020-05-01,2020-05-05 00:00:00
47,Australia,limit public gatherings,Phase-out measure,NT,Pacific,Social distancing,2020-05-15,2020-05-11 00:00:00
48,Australia,limit public gatherings,Phase-out measure,SA,Pacific,Social distancing,2020-05-11,2020-05-11 00:00:00
49,Australia,limit public gatherings,Phase-out measure,Tas,Pacific,Social distancing,2020-05-11,2020-05-11 00:00:00
50,Australia,limit public gatherings,Phase-out measure,Vic,Pacific,Social distancing,2020-05-12,2020-05-11 00:00:00
51,Australia,limit public gatherings,Phase-out measure,WA,Pacific,Social distancing,2020-04-27,2020-04-27 00:00:00
52,Australia,lockdown,Introduction / extension of measures,-,Pacific,Lockdown,2020-03-29,2020-04-02 00:00:00
53,Australia,military deployment,Introduction / extension of measures,Tas,Pacific,Governance and socio-economic measures,2020-04-13,2020-04-14 00:00:00
54,Australia,other public health measures enforced,Introduction / extension of measures,-,Pacific,Public health measures,2020-04-24,2020-04-27 00:00:00
55,Australia,other public health measures enforced,Introduction / extension of measures,Vic,Pacific,Public health measures,2020-05-12,2020-05-11 00:00:00
56,Australia,other public health measures enforced,Phase-out measure,-,Pacific,Public health measures,2020-04-27,2020-04-21 00:00:00
57,Australia,other public health measures enforced,Phase-out measure,NT,Pacific,Public health measures,2020-05-01,2020-05-11 00:00:00
58,Australia,other public health measures enforced,Phase-out measure,WA,Pacific,Public health measures,2020-05-18,2020-05-11 00:00:00
59,Australia,psychological assistance and medical social work,Introduction / extension of measures,-,Pacific,Public health measures,2020-03-25,2020-03-27 00:00:00
60,Australia,psychological assistance and medical social work,Introduction / extension of measures,Vic,Pacific,Social distancing,2020-05-15,2020-05-18 00:00:00
61,Australia,psychological assistance and medical social work,Introduction / extension of measures,WA,Pacific,Public health measures,2020-04-20,2020-04-27 00:00:00
62,Australia,schools closure ,Introduction / extension of measures,-,Pacific,Social distancing,2020-04-07,2020-04-09 00:00:00
63,Australia,schools closure ,Introduction / extension of measures,Vic,Pacific,Social distancing,2020-04-26,2020-04-27 00:00:00
64,Australia,schools closure ,Introduction / extension of measures,"Vic, ACT",Pacific,Social distancing,2020-03-22,2020-03-22 00:00:00
65,Australia,schools closure ,Phase-out measure,ACT,Pacific,Social distancing,2020-05-18,2020-05-18 00:00:00
66,Australia,schools closure ,Phase-out measure,NSW,Pacific,Social distancing,2020-05-11,2020-04-27 00:00:00
67,Australia,schools closure ,Phase-out measure,Qld,Pacific,Social distancing,2020-05-11,2020-05-11 00:00:00
68,Australia,schools closure ,Phase-out measure,SA,Pacific,Social distancing,2020-05-11,2020-05-11 00:00:00
69,Australia,schools closure ,Phase-out measure,Tas,Pacific,Social distancing,2020-05-11,2020-05-11 00:00:00
70,Australia,state of emergency declared,Introduction / extension of measures,Vic,Pacific,Governance and socio-economic measures,2020-04-12,2020-04-14 00:00:00
71,Australia,strengthening the public health system,Introduction / extension of measures,-,Pacific,Public health measures,2020-03-12,2020-03-14 00:00:00
72,Australia,strengthening the public health system,Introduction / extension of measures,SA,Pacific,Public health measures,2020-04-10,2020-04-14 00:00:00
73,Australia,strengthening the public health system,Introduction / extension of measures,Vic,Pacific,Public health measures,2020-04-10,2020-04-14 00:00:00
74,Australia,surveillance and monitoring,Introduction / extension of measures,-,Pacific,Movement restrictions,2020-03-28,2020-03-27 00:00:00
75,Australia,surveillance and monitoring,Introduction / extension of measures,WA,Pacific,Movement restrictions,2020-04-08,2020-04-09 00:00:00
76,Australia,testing policy,Introduction / extension of measures,-,Pacific,Public health measures,2020-03-25,2020-03-25 00:00:00
77,Australia,testing policy,Introduction / extension of measures,NSW,Pacific,Public health measures,2020-04-14,2020-04-14 00:00:00
78,Australia,testing policy,Introduction / extension of measures,Vic,Pacific,Public health measures,2020-04-14,2020-04-14 00:00:00
79,Australia,testing policy,Introduction / extension of measures,WA,Pacific,Public health measures,2020-04-09,2020-04-14 00:00:00
80,Australia,testing policy,Phase-out measure,Qld,Pacific,Public health measures,2020-05-08,2020-05-11 00:00:00
81,Australia,visa restrictions,Introduction / extension of measures,-,Pacific,Movement restrictions,2020-03-01,2020-03-14 00:00:00
82,Australia,visa restrictions,Phase-out measure,-,Pacific,Movement restrictions,2020-04-30,2020-04-09 00:00:00
83,Canada,awareness campaigns,Introduction / extension of measures,-,Americas,Public health measures,2020-01-25,2020-03-26 00:00:00
84,Canada,border closure ,Introduction / extension of measures,-,Americas,Movement restrictions,2020-03-14,2020-03-15 00:00:00
85,Canada,economic measures,Introduction / extension of measures,-,Americas,Governance and socio-economic measures,2020-03-11,2020-03-26 00:00:00
86,Canada,economic measures,Introduction / extension of measures,Quebec,Americas,Governance and socio-economic measures,2020-05-04,2020-05-14 00:00:00
87,Canada,emergency administrative structures activated or established,Introduction / extension of measures,-,Americas,Governance and socio-economic measures,2020-02-02,2020-03-26 00:00:00
88,Canada,general recommendations,Introduction / extension of measures,-,Americas,Public health measures,2020-01-26,2020-03-26 00:00:00
89,Canada,health screenings in airports and border crossings,Introduction / extension of measures,-,Americas,Public health measures,2020-03-14,2020-03-15 00:00:00
90,Canada,international flights suspension,Introduction / extension of measures,-,Americas,Movement restrictions,2020-03-18,2020-03-26 00:00:00
91,Canada,isolation and quarantine policies,Introduction / extension of measures,-,Americas,Public health measures,2020-01-25,2020-03-26 00:00:00
92,Canada,limit public gatherings,Introduction / extension of measures,-,Americas,Social distancing,2020-03-13,2020-03-15 00:00:00
93,Canada,military deployment,Introduction / extension of measures,Quebec,Americas,Governance and socio-economic measures,2020-04-20,2020-05-14 00:00:00
94,Canada,other public health measures enforced,Introduction / extension of measures,-,Americas,Public health measures,2020-04-04,2020-04-22 00:00:00
95,Canada,requirement to wear protective gear in public,Introduction / extension of measures,-,Americas,Public health measures,2020-04-14,2020-04-22 00:00:00
96,Canada,schools closure ,Introduction / extension of measures,-,Americas,Social distancing,2020-03-16,2020-03-16 00:00:00
97,Canada,state of emergency declared,Introduction / extension of measures,-,Americas,Governance and socio-economic measures,2020-03-17,2020-03-26 00:00:00
98,Canada,strengthening the public health system,Introduction / extension of measures,-,Americas,Public health measures,2020-03-13,2020-03-15 00:00:00
99,Canada,surveillance and monitoring,Introduction / extension of measures,-,Americas,Movement restrictions,2020-03-25,2020-04-21 00:00:00
100,Canada,visa restrictions,Introduction / extension of measures,-,Americas,Movement restrictions,2020-02-29,2020-03-25 00:00:00
101,China,additional health/documents requirements upon arrival,Introduction / extension of measures,-,Asia,Movement restrictions,2020-04-07,2020-04-16 00:00:00
102,China,additional health/documents requirements upon arrival,Introduction / extension of measures,Beijing,Asia,Movement restrictions,2020-03-24,2020-04-15 00:00:00
103,China,awareness campaigns,Introduction / extension of measures,-,Asia,Public health measures,2020-03-31,2020-04-16 00:00:00
104,China,border closure ,Introduction / extension of measures,-,Asia,Movement restrictions,2020-04-03,2020-04-16 00:00:00
105,China,border closure ,Introduction / extension of measures,Yunnan,Asia,Movement restrictions,2020-04-06,2020-04-16 00:00:00
106,China,checkpoints within the country,Introduction / extension of measures,-,Asia,Movement restrictions,2020-04-20,2020-04-29 00:00:00
107,China,domestic travel restrictions,Introduction / extension of measures,-,Asia,Movement restrictions,2020-03-29,2020-04-15 00:00:00
108,China,domestic travel restrictions,Introduction / extension of measures,Jilin city ,Asia,Movement restrictions,2020-05-14,2020-05-19 00:00:00
109,China,domestic travel restrictions,Introduction / extension of measures,Wuhan,Asia,Movement restrictions,2020-01-27,2020-03-15 00:00:00
110,China,domestic travel restrictions,Phase-out measure,Wuhan,Asia,Movement restrictions,2020-04-08,2020-04-16 00:00:00
111,China,economic measures,Introduction / extension of measures,-,Asia,Governance and socio-economic measures,2020-03-14,2020-03-15 00:00:00
112,China,economic measures,Introduction / extension of measures,Hubei,Asia,Governance and socio-economic measures,2020-04-29,2020-04-29 00:00:00
113,China,economic measures,Phase-out measure,-,Asia,Governance and socio-economic measures,2020-05-11,2020-05-11 00:00:00
114,China,emergency administrative structures activated or established,Introduction / extension of measures,-,Asia,Governance and socio-economic measures,2020-05-09,2020-05-11 00:00:00
115,China,emergency administrative structures activated or established,Introduction / extension of measures,Shulan,Asia,Governance and socio-economic measures,2020-05-10,2020-05-11 00:00:00
116,China,emergency administrative structures activated or established,Phase-out measure,Guangdong,Asia,Governance and socio-economic measures,2020-05-09,2020-05-11 00:00:00
117,China,emergency administrative structures activated or established,Phase-out measure,Hubei,Asia,Governance and socio-economic measures,2020-05-02,2020-05-05 00:00:00
118,China,emergency administrative structures activated or established,Phase-out measure,Ningxia ,Asia,Governance and socio-economic measures,2020-05-06,2020-05-11 00:00:00
119,China,emergency administrative structures activated or established,Phase-out measure,Shanghai,Asia,Governance and socio-economic measures,2020-05-08,2020-05-11 00:00:00
120,China,general recommendations,Introduction / extension of measures,-,Asia,Public health measures,2020-03-16,2020-03-21 00:00:00
121,China,health screenings in airports and border crossings,Introduction / extension of measures,-,Asia,Public health measures,2020-01-22,2020-03-15 00:00:00
122,China,health screenings in airports and border crossings,Introduction / extension of measures,Beijing,Asia,Public health measures,2020-03-23,2020-04-15 00:00:00
123,China,health screenings in airports and border crossings,Introduction / extension of measures,Guangdong,Asia,Public health measures,2020-03-27,2020-04-15 00:00:00
124,China,health screenings in airports and border crossings,Introduction / extension of measures,Guangxi ,Asia,Public health measures,2020-05-08,2020-05-11 00:00:00
125,China,health screenings in airports and border crossings,Introduction / extension of measures,Shanghai,Asia,Public health measures,2020-03-19,2020-03-21 00:00:00
126,China,international flights suspension,Introduction / extension of measures,-,Asia,Movement restrictions,2020-03-20,2020-04-15 00:00:00
127,China,international flights suspension,Introduction / extension of measures,Beijing,Asia,Movement restrictions,2020-03-24,2020-04-15 00:00:00
128,China,international flights suspension,Introduction / extension of measures,Shanghai,Asia,Movement restrictions,2020-03-25,2020-04-15 00:00:00
129,China,isolation and quarantine policies,Introduction / extension of measures,-,Asia,Public health measures,2020-03-24,2020-04-15 00:00:00
130,China,isolation and quarantine policies,Introduction / extension of measures,Beijing,Asia,Public health measures,2020-03-16,2020-03-21 00:00:00
131,China,isolation and quarantine policies,Introduction / extension of measures,Beijing ,Asia,Public health measures,2020-03-18,2020-03-21 00:00:00
132,China,isolation and quarantine policies,Introduction / extension of measures,Beijing's Chaoyang district,Asia,Public health measures,2020-04-23,2020-04-29 00:00:00
133,China,isolation and quarantine policies,Introduction / extension of measures,Chongquing ,Asia,Public health measures,2020-03-17,2020-03-21 00:00:00
134,China,isolation and quarantine policies,Introduction / extension of measures,"City of Suifenhe, Heilongjiang province",Asia,Public health measures,2020-04-27,2020-04-29 00:00:00
135,China,isolation and quarantine policies,Introduction / extension of measures,Guangdong,Asia,Public health measures,2020-03-27,2020-04-15 00:00:00
136,China,isolation and quarantine policies,Introduction / extension of measures,Hong Kong,Asia,Public health measures,2020-03-19,2020-03-17 00:00:00
137,China,isolation and quarantine policies,Introduction / extension of measures,Shandong,Asia,Public health measures,2020-03-18,2020-03-21 00:00:00
138,China,isolation and quarantine policies,Introduction / extension of measures,Shanghai,Asia,Public health measures,2020-03-17,2020-03-21 00:00:00
139,China,isolation and quarantine policies,Introduction / extension of measures,Wuhan,Asia,Public health measures,2020-03-17,2020-03-21 00:00:00
140,China,isolation and quarantine policies,Introduction / extension of measures,Zhejiang,Asia,Public health measures,2020-03-28,2020-04-15 00:00:00
141,China,isolation and quarantine policies,Phase-out measure,-,Asia,Public health measures,2020-04-08,2020-04-16 00:00:00
142,China,isolation and quarantine policies,Phase-out measure,Beijing,Asia,Public health measures,2020-04-30,2020-05-05 00:00:00
143,China,limit public gatherings,Introduction / extension of measures,-,Asia,Social distancing,2020-01-29,2020-03-15 00:00:00
144,China,limit public gatherings,Introduction / extension of measures,Wuhan,Asia,Social distancing,2020-04-03,2020-04-16 00:00:00
145,China,limit public gatherings,Phase-out measure,-,Asia,Social distancing,2020-05-08,2020-05-11 00:00:00
146,China,lockdown,Introduction / extension of measures,-,*,Lockdown,2020-01-23,1/23/2020
147,China,lockdown,Introduction / extension of measures,Hubei,Hubei,Lockdown,2020-01-23,1/23/2020
148,China,lockdown,Phase-out measure,Suifenhe,Asia,Lockdown,2020-05-07,2020-05-11 00:00:00
149,China,mass population testing,Introduction / extension of measures,-,Asia,Public health measures,2020-04-02,2020-04-16 00:00:00
150,China,other public health measures enforced,Introduction / extension of measures,-,Asia,Public health measures,2020-03-26,2020-04-15 00:00:00
151,China,other public health measures enforced,Introduction / extension of measures,Beijing,Asia,Public health measures,2020-03-24,2020-04-15 00:00:00
152,China,psychological assistance and medical social work,Introduction / extension of measures,-,Asia,Public health measures,2020-03-13,2020-03-15 00:00:00
153,China,psychological assistance and medical social work,Introduction / extension of measures,Hubei,Asia,Public health measures,2020-04-25,2020-04-29 00:00:00
154,China,requirement to wear protective gear in public,Introduction / extension of measures,-,Asia,Public health measures,2020-03-31,2020-04-16 00:00:00
155,China,requirement to wear protective gear in public,Phase-out measure,-,Asia,Public health measures,2020-05-18,2020-05-19 00:00:00
156,China,schools closure ,Phase-out measure,-,Asia,Social distancing,2020-04-15,2020-04-29 00:00:00
157,China,schools closure ,Phase-out measure,Beijing,Asia,Social distancing,2020-06-06,2020-05-19 00:00:00
158,China,state of emergency declared,Introduction / extension of measures,-,Asia,Governance and socio-economic measures,2020-01-20,2020-03-15 00:00:00
159,China,strengthening the public health system,Introduction / extension of measures,-,Asia,Public health measures,2020-02-03,2020-03-20 00:00:00
160,China,strengthening the public health system,Introduction / extension of measures,Hubei,Asia,Public health measures,2020-03-22,2020-04-15 00:00:00
161,China,strengthening the public health system,Phase-out measure,-,Asia,Public health measures,2020-04-27,2020-04-29 00:00:00
162,China,surveillance and monitoring,Introduction / extension of measures,-,Asia,Movement restrictions,2020-03-30,2020-04-16 00:00:00
163,China,surveillance and monitoring,Introduction / extension of measures,Beijing,Asia,Movement restrictions,2020-04-01,2020-04-16 00:00:00
164,China,surveillance and monitoring,Introduction / extension of measures,"City of Suifenhe, Heilongjiang province",Asia,Movement restrictions,2020-04-27,2020-04-29 00:00:00
165,China,surveillance and monitoring,Introduction / extension of measures,Shanghai,Asia,Movement restrictions,2020-03-14,2020-04-16 00:00:00
166,China,testing policy,Introduction / extension of measures,Beijing,Asia,Public health measures,2020-03-27,2020-04-15 00:00:00
167,China,testing policy,Introduction / extension of measures,"City of Suifenhe, Heilongjiang province",Asia,Public health measures,2020-04-27,2020-04-29 00:00:00
168,China,testing policy,Introduction / extension of measures,Guangdong,Asia,Public health measures,2020-04-08,2020-04-16 00:00:00
169,China,testing policy,Introduction / extension of measures,Guangzhou,Asia,Public health measures,2020-04-24,2020-04-29 00:00:00
170,China,testing policy,Introduction / extension of measures,Shanghai,Asia,Public health measures,2020-04-08,2020-04-16 00:00:00
171,China,testing policy,Introduction / extension of measures,Sichuan province,Asia,Public health measures,2020-05-14,2020-05-19 00:00:00
172,China,testing policy,Introduction / extension of measures,Wuhan,Asia,Public health measures,2020-05-14,2020-05-19 00:00:00
173,China,testing policy,Introduction / extension of measures,Zhejiang,Asia,Public health measures,2020-04-07,2020-04-16 00:00:00
174,China,testing policy,Introduction / extension of measures,Zhejiang Province,Asia,Public health measures,2020-04-25,2020-04-29 00:00:00
175,China,visa restrictions,Introduction / extension of measures,-,Asia,Movement restrictions,2020-03-26,2020-04-15 00:00:00
176,France,amendments to funeral and burial regulations,Introduction / extension of measures,-,Europe,Public health measures,2020-03-20,2020-04-12 00:00:00
177,France,amendments to funeral and burial regulations,Phase-out measure,-,Europe,Public health measures,2020-05-11,2020-05-01 00:00:00
178,France,awareness campaigns,Introduction / extension of measures,-,Europe,Public health measures,2020-04-17,2020-04-18 00:00:00
179,France,border checks ,Phase-out measure,-,Europe,Movement restrictions,2020-05-13,2020-05-18 00:00:00
180,France,border closure ,Introduction / extension of measures,-,Europe,Movement restrictions,2020-03-18,2020-03-23 00:00:00
181,France,border closure ,Phase-out measure,-,Europe,Movement restrictions,2020-05-13,2020-05-18 00:00:00
182,France,closure of businesses and public services,Introduction / extension of measures,-,Europe,Social distancing,2020-03-16,2020-03-16 00:00:00
183,France,closure of businesses and public services,Phase-out measure,-,Europe,Social distancing,2020-05-11,2020-04-23 00:00:00
184,France,domestic travel restrictions,Introduction / extension of measures,-,Europe,Movement restrictions,2020-04-08,2020-04-12 00:00:00
185,France,economic measures,Introduction / extension of measures,-,Europe,Governance and socio-economic measures,2020-03-12,2020-03-23 00:00:00
186,France,economic measures,Introduction / extension of measures,Paris,Europe,Governance and socio-economic measures,2020-03-16,2020-04-12 00:00:00
187,France,emergency administrative structures activated or established,Introduction / extension of measures,-,Europe,Governance and socio-economic measures,2020-02-13,2020-03-23 00:00:00
188,France,general recommendations,Introduction / extension of measures,-,Europe,Public health measures,2020-03-18,2020-03-23 00:00:00
189,France,health screenings in airports and border crossings,Introduction / extension of measures,-,Europe,Public health measures,2020-03-16,2020-03-16 00:00:00
190,France,international flights suspension,Introduction / extension of measures,-,Europe,Movement restrictions,2020-03-16,2020-03-16 00:00:00
191,France,isolation and quarantine policies,Introduction / extension of measures,-,Europe,Public health measures,2020-03-16,2020-03-16 00:00:00
192,France,isolation and quarantine policies,Phase-out measure,-,Europe,Public health measures,2020-04-20,2020-04-23 00:00:00
193,France,limit product imports/exports,Introduction / extension of measures,-,Europe,Governance and socio-economic measures,2020-04-21,2020-04-23 00:00:00
194,France,limit public gatherings,Introduction / extension of measures,-,Europe,Social distancing,2020-02-29,2020-03-23 00:00:00
195,France,limit public gatherings,Introduction / extension of measures,Paris,Europe,Social distancing,2020-04-08,2020-04-12 00:00:00
196,France,limit public gatherings,Phase-out measure,-,Europe,Social distancing,2020-05-30,2020-05-25 00:00:00
197,France,lockdown,Introduction / extension of measures,-,Europe,Lockdown,2020-03-17,2020-03-17 00:00:00
198,France,lockdown,Phase-out measure,-,Europe,Lockdown,2020-05-11,2020-05-01 00:00:00
199,France,lockdown of refugee/idp camps or other minorities,Introduction / extension of measures,Calais and Dunkirk,Europe,Lockdown,2020-03-29,2020-04-12 00:00:00
200,France,military deployment,Introduction / extension of measures,-,Europe,Governance and socio-economic measures,2020-03-16,2020-03-30 00:00:00
201,France,other public health measures enforced,Introduction / extension of measures,-,Europe,Public health measures,2020-04-17,2020-04-18 00:00:00
202,France,psychological assistance and medical social work,Introduction / extension of measures,-,Europe,Public health measures,2020-04-09,2020-04-12 00:00:00
203,France,requirement to wear protective gear in public,Introduction / extension of measures,-,Europe,Public health measures,2020-05-11,2020-05-01 00:00:00
204,France,schools closure ,Introduction / extension of measures,-,Europe,Social distancing,2020-03-16,2020-03-16 00:00:00
205,France,schools closure ,Phase-out measure,-,Europe,Social distancing,2020-05-11,2020-04-23 00:00:00
206,France,state of emergency declared,Introduction / extension of measures,-,Europe,Governance and socio-economic measures,2020-03-24,2020-04-07 00:00:00
207,France,strengthening the public health system,Introduction / extension of measures,-,Europe,Public health measures,2020-03-24,2020-03-30 00:00:00
208,France,surveillance and monitoring,Introduction / extension of measures,-,Europe,Movement restrictions,2020-04-06,2020-04-05 00:00:00
209,France,visa restrictions,Introduction / extension of measures,-,Europe,Movement restrictions,2020-04-24,2020-05-01 00:00:00
210,US,awareness campaigns,Introduction / extension of measures,-,Americas,Public health measures,2020-01-30,2020-04-21 00:00:00
211,US,border closure ,Introduction / extension of measures,-,Americas,Movement restrictions,2020-03-20,2020-03-26 00:00:00
212,US,closure of businesses and public services,Introduction / extension of measures,-,Americas,Social distancing,2020-03-10,2020-04-21 00:00:00
213,US,economic measures,Introduction / extension of measures,-,Americas,Governance and socio-economic measures,2020-03-02,2020-03-26 00:00:00
214,US,economic measures,Introduction / extension of measures,Native Tribes,Americas,Governance and socio-economic measures,2020-03-20,2020-04-21 00:00:00
215,US,emergency administrative structures activated or established,Introduction / extension of measures,-,Americas,Governance and socio-economic measures,2020-01-21,2020-03-26 00:00:00
216,US,general recommendations,Introduction / extension of measures,-,Americas,Public health measures,2020-03-16,2020-03-17 00:00:00
217,US,general recommendations,Phase-out measure,-,Americas,Public health measures,2020-04-16,2020-04-21 00:00:00
218,US,health screenings in airports and border crossings,Introduction / extension of measures,-,Americas,Public health measures,2020-03-14,2020-03-15 00:00:00
219,US,isolation and quarantine policies,Introduction / extension of measures,New York,Americas,Public health measures,2020-03-26,2020-04-21 00:00:00
220,US,limit public gatherings,Introduction / extension of measures,-,Americas,Social distancing,2020-03-11,2020-03-26 00:00:00
221,US,military deployment,Introduction / extension of measures,-,Americas,Governance and socio-economic measures,2020-03-22,2020-03-26 00:00:00
222,US,other public health measures enforced,Introduction / extension of measures,-,Americas,Public health measures,2020-03-24,2020-04-21 00:00:00
223,US,psychological assistance and medical social work,Introduction / extension of measures,-,Americas,Public health measures,2020-04-13,2020-04-21 00:00:00
224,US,schools closure ,Introduction / extension of measures,-,Americas,Social distancing,2020-03-13,2020-03-26 00:00:00
225,US,state of emergency declared,Introduction / extension of measures,-,Americas,Governance and socio-economic measures,2020-01-31,2020-03-17 00:00:00
226,US,strengthening the public health system,Introduction / extension of measures,-,Americas,Public health measures,2020-01-22,2020-03-26 00:00:00
227,US,strengthening the public health system,Introduction / extension of measures,Florida,Americas,Public health measures,2020-03-17,2020-04-21 00:00:00
228,US,strengthening the public health system,Introduction / extension of measures,Native Tribes,Americas,Public health measures,2020-04-08,2020-04-21 00:00:00
229,US,strengthening the public health system,Introduction / extension of measures,Washington,Americas,Public health measures,2020-03-19,2020-04-21 00:00:00
230,US,surveillance and monitoring,Introduction / extension of measures,-,Americas,Movement restrictions,2020-02-14,2020-04-21 00:00:00
231,US,testing policy,Introduction / extension of measures,-,Americas,Public health measures,2020-03-08,2020-03-26 00:00:00
232,US,testing policy,Introduction / extension of measures,Native Tribes,Americas,Public health measures,2020-04-06,2020-04-21 00:00:00
233,US,visa restrictions,Introduction / extension of measures,-,Americas,Movement restrictions,2020-01-31,2020-03-26 00:00:00
